Sphere (N),Spin,Spin 95% Bound,Phi (deg.),Separation Angle (deg.),Separation Angle 95% Bound (deg.)
12,0.046773502,0.015,0,115.94,4.10
12,0.046773502,0.015,45,110.37,3.22
12,0.046773502,0.015,90,111.92,5.05
12,0.046773502,0.015,135,106.57,3.47
12,0.046773502,0.015,180,107.44,5.07
12,0.093547003,0.007,0,118.30,4.13
12,0.093547003,0.007,45,111.98,3.02
12,0.093547003,0.007,90,109.08,2.83
12,0.093547003,0.007,135,106.86,4.40
12,0.093547003,0.007,180,105.37,2.93
12,0.140320505,0.014,0,118.13,4.30
12,0.140320505,0.014,45,112.97,5.08
12,0.140320505,0.014,90,108.93,3.74
12,0.140320505,0.014,135,106.80,7.33
12,0.140320505,0.014,180,104.62,3.45
12,0.187094007,0.014,0,118.07,5.55
12,0.187094007,0.014,45,117.67,2.39
12,0.187094007,0.014,90,112.54,5.20
12,0.187094007,0.014,135,108.40,2.85
12,0.187094007,0.014,180,102.43,3.21
16,0.046773502,0.008,0,108.34,6.26
16,0.046773502,0.008,45,110.60,5.18
16,0.046773502,0.008,90,107.73,4.40
16,0.046773502,0.008,135,106.16,4.40
16,0.046773502,0.008,180,103.99,7.43
16,0.093547003,0.009,0,112.81,3.53
16,0.093547003,0.009,45,112.22,2.88
16,0.093547003,0.009,90,106.62,4.24
16,0.093547003,0.009,135,108.86,3.76
16,0.093547003,0.009,180,101.97,3.77
16,0.140320505,0.012,0,115.99,3.41
16,0.140320505,0.012,45,114.57,4.22
16,0.140320505,0.012,90,110.27,3.36
16,0.140320505,0.012,135,104.97,3.64
16,0.140320505,0.012,180,97.74,6.21
16,0.187094007,0.004,0,118.64,4.12
16,0.187094007,0.004,45,114.20,4.41
16,0.187094007,0.004,90,108.35,5.59
16,0.187094007,0.004,135,108.55,2.10
16,0.187094007,0.004,180,101.32,3.11
16,0.233867509,0.009,0,120.94,2.72
16,0.233867509,0.009,45,115.15,2.65
16,0.233867509,0.009,90,107.95,5.65
16,0.233867509,0.009,135,104.44,2.31
16,0.233867509,0.009,180,96.75,5.56
20,0.046773502,0.007,0,109.26,4.87
20,0.046773502,0.007,45,110.84,3.92
20,0.046773502,0.007,90,105.34,2.17
20,0.046773502,0.007,135,103.42,2.61
20,0.046773502,0.007,180,105.92,4.33
20,0.093547003,0.002,0,114.52,3.59
20,0.093547003,0.002,45,110.14,4.58
20,0.093547003,0.002,90,103.90,2.83
20,0.093547003,0.002,135,103.74,2.08
20,0.093547003,0.002,180,102.08,3.00
20,0.140320505,0.008,0,117.71,4.31
20,0.140320505,0.008,45,114.02,2.26
20,0.140320505,0.008,90,106.79,2.53
20,0.140320505,0.008,135,105.04,3.41
20,0.140320505,0.008,180,100.30,4.03
20,0.187094007,0.008,0,117.24,4.01
20,0.187094007,0.008,45,113.93,2.62
20,0.187094007,0.008,90,106.92,2.55
20,0.187094007,0.008,135,104.75,2.93
20,0.187094007,0.008,180,99.21,3.71
20,0.233867509,0.009,0,119.07,3.83
20,0.233867509,0.009,45,116.70,2.17
20,0.233867509,0.009,90,106.65,2.67
20,0.233867509,0.009,135,103.47,1.71
20,0.233867509,0.009,180,97.14,2.77
24,0.046773502,0.005,0,108.11,2.38
24,0.046773502,0.005,45,103.14,6.60
24,0.046773502,0.005,90,102.68,3.04
24,0.046773502,0.005,135,100.27,2.77
24,0.046773502,0.005,180,99.03,2.33
24,0.093547003,0.005,0,112.55,3.81
24,0.093547003,0.005,45,105.24,4.81
24,0.093547003,0.005,90,102.04,3.03
24,0.093547003,0.005,135,101.01,2.03
24,0.093547003,0.005,180,96.90,4.52
24,0.140320505,0.004,0,113.86,2.93
24,0.140320505,0.004,45,109.76,2.30
24,0.140320505,0.004,90,102.58,2.82
24,0.140320505,0.004,135,101.49,2.22
24,0.140320505,0.004,180,97.35,4.27
24,0.187094007,0.01,0,115.56,3.75
24,0.187094007,0.01,45,110.48,2.32
24,0.187094007,0.01,90,102.44,1.52
24,0.187094007,0.01,135,103.03,3.80
24,0.187094007,0.01,180,97.44,2.82
24,0.233867509,0.005,0,114.14,6.04
24,0.233867509,0.005,45,110.67,3.33
24,0.233867509,0.005,90,102.23,2.97
24,0.233867509,0.005,135,101.55,2.75
24,0.233867509,0.005,180,95.91,5.87
